cell_id,cycle_index,discharge_rate_c,capacity_ah,capacity_percent,observed_at,source_file,source_local_cycle
CS2_33,1,0.5,1.16169252,100.204148,2010-08-16 13:44:13,CS2_33_8_17_10.xlsx,1
CS2_33,2,0.5,1.16041979,100.094366,2010-08-17 14:30:36,CS2_33_8_18_10.xlsx,1
CS2_33,3,0.5,1.15932578,100.0,2010-08-18 10:59:06,CS2_33_8_19_10.xlsx,1
CS2_33,4,0.5,1.15812326,99.896274,2010-08-19 14:21:15,CS2_33_8_30_10.xlsx,1
CS2_33,5,0.5,1.15778774,99.867333,2010-08-19 19:04:10,CS2_33_8_30_10.xlsx,2
CS2_33,6,0.5,1.15607135,99.719282,2010-08-19 23:45:50,CS2_33_8_30_10.xlsx,3
CS2_33,7,0.5,1.15077682,99.262592,2010-08-20 04:26:25,CS2_33_8_30_10.xlsx,4
CS2_33,8,0.5,1.14876694,99.089226,2010-08-20 09:07:21,CS2_33_8_30_10.xlsx,5
CS2_33,9,0.5,1.14661583,98.903678,2010-08-20 13:47:39,CS2_33_8_30_10.xlsx,6
CS2_33,10,0.5,1.14754413,98.98375,2010-08-20 18:27:19,CS2_33_8_30_10.xlsx,7
CS2_33,11,0.5,1.14762412,98.99065,2010-08-20 23:06:50,CS2_33_8_30_10.xlsx,8
CS2_33,12,0.5,1.14704157,98.9404,2010-08-21 03:45:08,CS2_33_8_30_10.xlsx,9
CS2_33,13,0.5,1.14617884,98.865984,2010-08-21 08:23:01,CS2_33_8_30_10.xlsx,10
CS2_33,14,0.5,1.14538695,98.797678,2010-08-21 13:00:32,CS2_33_8_30_10.xlsx,11
CS2_33,15,0.5,1.14460503,98.730232,2010-08-21 17:37:33,CS2_33_8_30_10.xlsx,12
CS2_33,16,0.5,1.14381857,98.662394,2010-08-21 22:14:15,CS2_33_8_30_10.xlsx,13
CS2_33,17,0.5,1.14286983,98.580559,2010-08-22 02:50:41,CS2_33_8_30_10.xlsx,14
CS2_33,18,0.5,1.14212116,98.51598,2010-08-22 07:26:53,CS2_33_8_30_10.xlsx,15
CS2_33,19,0.5,1.14136516,98.450771,2010-08-22 12:02:49,CS2_33_8_30_10.xlsx,16
CS2_33,20,0.5,1.1405603,98.381345,2010-08-22 16:38:31,CS2_33_8_30_10.xlsx,17
CS2_33,21,0.5,1.139861,98.321026,2010-08-22 21:13:46,CS2_33_8_30_10.xlsx,18
