cell_id,cell_type,ambient_temp_c,charge_rate_c,discharge_rate_c,depth_of_discharge,cycle_index,capacity_ah,capacity_percent
B001,LFP_graphite,45.1,2.105,2.413,0.901,0,2.0823,100.225
B001,LFP_graphite,45.1,2.105,2.413,0.901,10,2.049,98.62
B001,LFP_graphite,45.1,2.105,2.413,0.901,20,2.0423,98.3
B001,LFP_graphite,45.1,2.105,2.413,0.901,30,2.0209,97.267
B001,LFP_graphite,45.1,2.105,2.413,0.901,40,1.9968,96.107
B001,LFP_graphite,45.1,2.105,2.413,0.901,50,1.9576,94.222
B001,LFP_graphite,45.1,2.105,2.413,0.901,60,1.9204,92.433
B001,LFP_graphite,45.1,2.105,2.413,0.901,70,1.9136,92.106
B001,LFP_graphite,45.1,2.105,2.413,0.901,80,1.8791,90.443
B001,LFP_graphite,45.1,2.105,2.413,0.901,90,1.8249,87.836
B001,LFP_graphite,45.1,2.105,2.413,0.901,100,1.8101,87.122
B001,LFP_graphite,45.1,2.105,2.413,0.901,110,1.7719,85.282
B001,LFP_graphite,45.1,2.105,2.413,0.901,120,1.7482,84.144
B001,LFP_graphite,45.1,2.105,2.413,0.901,130,1.714,82.498
B001,LFP_graphite,45.1,2.105,2.413,0.901,140,1.6636,80.072
B001,LFP_graphite,45.1,2.105,2.413,0.901,150,1.6451,79.183
B001,LFP_graphite,45.1,2.105,2.413,0.901,160,1.6029,77.152
B001,LFP_graphite,45.1,2.105,2.413,0.901,170,1.5676,75.45
B001,LFP_graphite,45.1,2.105,2.413,0.901,180,1.5302,73.651
B001,LFP_graphite,45.1,2.105,2.413,0.901,190,1.5149,72.914
B001,LFP_graphite,45.1,2.105,2.413,0.901,200,1.4577,70.163
B001,LFP_graphite,45.1,2.105,2.413,0.901,210,1.4256,68.618
B001,LFP_graphite,45.1,2.105,2.413,0.901,220,1.3911,66.956
B001,LFP_graphite,45.1,2.105,2.413,0.901,230,1.3574,65.334
B001,LFP_graphite,45.1,2.105,2.413,0.901,240,1.3486,64.91
B001,LFP_graphite,45.1,2.105,2.413,0.901,250,1.2994,62.541
B001,LFP_graphite,45.1,2.105,2.413,0.901,260,1.2504,60.184
B001,LFP_graphite,45.1,2.105,2.413,0.901,270,1.198,57.661
B001,LFP_graphite,45.1,2.105,2.413,0.901,280,1.1665,56.143
B001,LFP_graphite,45.1,2.105,2.413,0.901,290,1.129,54.342
B001,LFP_graphite,45.1,2.105,2.413,0.901,300,1.0922,52.571
B001,LFP_graphite,45.1,2.105,2.413,0.901,310,1.0744,51.713
B001,LFP_graphite,45.1,2.105,2.413,0.901,320,1.0209,49.136
B001,LFP_graphite,45.1,2.105,2.413,0.901,330,0.9798,47.157
B001,LFP_graphite,45.1,2.105,2.413,0.901,340,0.9449,45.481
B001,LFP_graphite,45.1,2.105,2.413,0.901,350,0.8983,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,360,0.8731,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,370,0.8253,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,380,0.7842,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,390,0.7566,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,400,0.6907,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,410,0.6569,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,420,0.6168,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,430,0.588,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,440,0.5363,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,450,0.4961,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,460,0.4651,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,470,0.4379,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,480,0.3763,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,490,0.3296,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,500,0.2894,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,510,0.2474,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,520,0.1983,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,530,0.1597,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,540,0.1196,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,550,0.0844,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,560,0.0283,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,570,-0.0185,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,580,-0.056,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,590,-0.1027,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,600,-0.1397,45.0
B001,LFP_graphite,45.1,2.105,2.413,0.901,610,-0.184,45.0
