cement_kg_m3,blast_furnace_slag_kg_m3,fly_ash_kg_m3,water_kg_m3,superplasticizer_kg_m3,coarse_aggregate_kg_m3,fine_aggregate_kg_m3,age_days,compressive_strength_mpa,estimated_co2_kg_m3,estimated_material_cost_index
263.55,31.28,93.67,207.12,9.01,934.52,668.27,7,17.581,242.5,60.09
429.19,194.79,52.06,126.67,19.96,831.45,750.07,365,89.336,411.42,117.12
340.14,175.39,115.63,235.4,27.4,1101.59,852.38,1,32.387,347.54,126.21
212.03,198.09,126.67,162.05,28.46,1125.41,670.16,56,51.755,242.16,115.52
532.96,87.17,47.15,209.23,9.17,885.32,943.35,28,61.81,474.74,94.87
418.93,193.85,189.8,155.01,5.42,1066.1,727.14,14,61.341,382.13,84.98
314.05,50.41,176.24,211.85,23.86,1149.42,590.92,1,30.508,312.17,107.91
129.14,148.94,3.34,163.04,17.57,1091.66,764.23,180,19.575,148.36,69.97
481.32,42.46,160.54,159.28,8.6,1045.68,754.28,90,80.878,429.08,88.66
311.64,166.37,65.39,165.52,25.08,1036.05,834.79,365,69.786,317.99,114.37
357.12,127.46,196.88,166.13,18.4,1085.94,804.64,90,66.339,345.86,105.66
516.24,4.31,40.52,150.95,28.42,838.32,603.49,1,39.077,485.39,134.92
441.67,89.19,170.01,162.62,8.73,886.69,889.6,7,53.372,399.02,87.86
242.05,22.58,119.65,239.93,4.13,1134.57,642.13,365,22.554,216.33,45.74
504.21,159.56,177.12,231.35,12.38,896.42,589.51,365,92.621,463.1,109.71
324.39,180.81,170.15,146.26,1.15,949.9,805.88,3,41.243,293.64,61.28
340.39,58.66,65.59,135.02,26.94,1081.41,604.42,180,67.333,337.85,114.92
186.66,50.05,188.63,128.41,5.5,1023.97,740.48,90,33.543,174.74,47.2
370.5,188.58,42.79,171.36,11.33,913.67,787.92,7,40.214,347.12,87.7
175.12,114.16,55.03,229.68,12.83,983.8,761.41,90,18.023,178.48,63.29
279.04,143.38,108.35,150.86,16.09,893.44,800.29,28,41.673,275.14,88.09
225.88,109.18,90.73,120.94,12.95,1031.26,711.73,3,34.791,222.18,70.76
234.25,37.42,110.86,194.08,16.81,800.45,581.82,56,26.894,230.85,77.19
330.78,93.88,150.88,127.21,10.14,841.7,776.0,28,55.544,306.98,77.65
289.21,145.9,60.74,120.65,8.24,1046.51,874.32,56,41.16,270.44,67.94
130.4,75.6,192.82,139.95,20.92,888.62,750.32,7,23.507,153.45,80.94
345.77,194.18,159.0,149.01,19.06,880.34,885.22,3,52.659,341.17,109.08
281.39,165.53,199.14,160.31,0.67,1024.09,700.63,28,48.943,255.82,54.99
509.24,38.93,23.48,152.94,18.61,1121.66,586.79,1,37.162,465.83,111.31
451.3,94.59,112.45,139.06,17.83,860.75,599.61,180,74.159,420.99,109.84
483.03,3.33,132.26,203.5,25.12,935.42,625.87,14,48.816,453.64,126.28
248.59,36.34,65.03,130.9,28.72,1049.6,815.25,14,27.756,261.09,106.77
