alloy_family,carbon_pct,chromium_pct,nickel_pct,austenitize_temp_c,tempering_temp_c,hold_time_h,cooling_rate_c_per_s,hardness_hv,charpy_j
martensitic_stainless,0.7051,3.7833,1.1965,843.49,201.66,2.121,7.3633,550.22,70.238
low_alloy_steel,0.5289,1.7879,1.2778,783.59,296.33,3.356,0.3477,278.323,106.235
martensitic_stainless,0.2389,3.3296,0.1551,909.34,592.99,0.693,151.3921,340.938,110.73
spring_steel,0.9291,1.0854,1.3317,975.75,285.53,3.554,26.8556,518.514,70.868
low_alloy_steel,0.9343,1.8582,1.7476,827.89,609.25,0.2,2.8158,256.523,122.372
bearing_steel,0.7008,1.7853,1.3362,932.99,472.73,2.588,3.3824,391.972,84.729
low_alloy_steel,1.0327,1.1639,1.418,923.56,446.84,1.157,6.5458,392.299,91.977
bearing_steel,0.6352,0.5711,1.3791,912.37,304.4,0.329,15.6826,381.415,92.888
low_alloy_steel,0.961,1.6604,1.92,806.59,412.81,2.946,3.6958,388.275,101.674
martensitic_stainless,0.7657,3.7252,2.3529,827.48,560.39,2.053,2.9778,390.829,100.307
martensitic_stainless,0.3429,3.5692,2.4349,806.93,357.23,1.732,50.0592,522.2,91.485
bearing_steel,0.6134,0.9925,1.0245,837.94,256.03,0.269,32.012,461.574,74.276
martensitic_stainless,0.9468,2.8803,1.75,866.2,598.94,0.791,0.1297,426.673,106.686
low_alloy_steel,0.7285,0.2429,1.0935,806.37,574.92,3.381,7.8277,211.596,122.32
spring_steel,0.282,0.6992,0.0456,850.33,482.18,0.731,7.5554,209.197,117.639
spring_steel,0.7237,0.2225,1.4854,906.75,383.72,3.77,0.9565,320.087,93.879
spring_steel,0.214,0.9672,1.9688,965.16,480.12,3.737,108.9414,344.174,106.676
martensitic_stainless,0.3241,3.3642,1.0623,975.8,312.51,1.496,87.6524,532.192,73.133
martensitic_stainless,0.2359,3.2043,1.3426,974.39,306.79,1.33,0.1125,429.405,81.904
bearing_steel,0.8729,1.2744,0.0653,867.88,252.34,0.575,0.6169,440.684,64.359
bearing_steel,0.7293,1.8274,1.9859,821.33,220.52,2.979,3.3114,466.99,82.078
spring_steel,0.2491,1.9084,1.3121,907.9,521.38,0.836,47.2836,280.249,127.805
spring_steel,0.7269,1.2432,1.6325,937.85,337.11,0.215,1.0052,400.437,93.687
bearing_steel,0.4758,0.4303,0.4203,776.24,646.56,3.472,26.824,223.924,125.306
low_alloy_steel,0.8691,0.3188,0.6771,847.8,418.67,2.789,6.9399,329.803,89.037
low_alloy_steel,0.7872,1.5215,1.693,815.04,604.36,2.336,19.208,266.444,124.63
spring_steel,0.8786,0.1681,0.7225,830.09,612.03,1.551,0.5611,262.251,132.68
bearing_steel,0.2657,1.7982,1.5986,886.42,166.31,2.108,1.1389,405.247,95.27
