 ,,Composition (at%),,,,,,,,,,,,,,Processing,,20 C=RT,,,,,,,,,,Phases,,,,,,,,,,,Properties,,,,,,,,,,,,,,,
File_Name,Material,Fe,Ni,Co,Mn,Cr,Al,Ti,Cu,Si,V,Nb,B,Mo,Ta,"Homogenization? (Yes=1, No=0)",Homogenization temp (°C),Homogenization time (hr),"Rolling? (Yes=1, No=0)",Rolling temp (°C),Rolling %,"Recrystallization (Y=1, N=0)",Recrystallization temp (°C),Recrystallization Time (min),"Aging? (yes=1, No=0)",Aging temp (°C),Aging time (hr),"Matrix (FCC=1, BCC=2, L12=3, B2=4, Sigma=5)",Matrix volume percent (%),"Precipitates (None=0, L12=1, y''=2, B2=3, n=4, L21=5, Sig=6, BCC=7, FCC=8, Mu=9, HCP=10, Laves=11, ",Precipitate Size (nm),Precipitate volume percent (%),"Precipitates 2 (None=0, L12=1, y''=2, B2=3, n=4, L21=5, Sig=6, BCC=7, FCC=8, Mu=9, HCP=10, Laves=11, ",Precipitate size (nm),Precipitate volume percent (%),"Precipitates 3 (None=0, L12=1, y''=2, B2=3, n=4, L21=5, Sig=6, BCC=7, FCC=8, Mu=9, HCP=10, Laves=11, ",Precipitate size (nm),Precipitate volume percent (%),Ultimate Tensile Strength (MPa),Ultimate Compressive Strength (MPa),Tensile Yield Strength (Mpa),Compressive Yield Strength (Mpa),Hardness (HV),Tensile Ductility(%),Compressive Ductility (%),Non_Room_Temperature_Cryo_HT_Strength_Temperature,Non_Room_Temperature_Cryo_HT_Strength,Non_Room_Temperature_Cryo_HT_Ductility,,,,,,
A precipitation-hardened high-entropy alloy with outstanding tensile properties,Alloy A,25,25,25,0,25,0,0,0,0,0,0,0,0,0,Tube-sealed homogenization,1473K,4 h,0,,,0,,,0,,,"1 (Face‐Centered Cubic, FCC)",100,,,,,,,,,,453,,165,,,,,,,,,,,,,
A precipitation-hardened high-entropy alloy with outstanding tensile properties,Alloy B,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Tube-sealed homogenization,1473K,4 h,0,,,0,,,0,,,1 (face‐centered cubic),100,,,,,,,,,,503,,,,,,,,,,,,,,,
A precipitation-hardened high-entropy alloy with outstanding tensile properties,Alloy P1,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Tube-sealed homogenization,1473K,4 h,Cold rolling at room temperature (20 °C),20,30,Annealing (recrystallization) step,1273K,2 h,1,1073K,18 h,Face‐centered cubic (fcc) (Code 1),,"L12 (Ni₃(Ti,Al), g0 phase) (Code 1)",12.6,23.3,"L12 (Ni₃(Ti,Al), g0 phase) (Code 1)",46.3,16.2,"L21 (Ni₂AlTi phase, Heusler‐like structure) (Code 5)",>100,,1094,,645,,,39,,,,,,,,,,
A precipitation-hardened high-entropy alloy with outstanding tensile properties,Alloy P2,23.5,23.5,23.5,0,23.5,4,2,0,0,0,0,0,0,0,Tube-sealed homogenization,1473K,4 h,Cold rolling at room temperature (20 °C),20,70,0,,,1,923K,4 h,Face‐centered cubic (classification = 1),70,"L12 (classification = 1) – (This phase is the g0 phase, identified as Ni3(Ti,Al) with a superlattice L12 structure and a coherent interface with the fcc matrix.)",Approximately 9.7 nm in radius (i.e. roughly 20 nm in overall size),26.8,"L21 (classification = 5) – (This phase is identified as the Ni2AlTi phase exhibiting a Heusler‐like L21 structure. Although its hardening effect is noted to be minor, it is clearly distinguishable by TEM.)","Approximately 25.9 nm (characteristic particle size as measured, reported as the ‘radius’)",2.77,,,,1273,,1005,,,17,,,,,,,,,,
An as-cast high-entropy alloy with remarkable mechanical properties strengthened by nanometer precipitates,Complete (bulk) CoCrCuMnNi HEA,0,20,20,20,20,0,0,20,0,0,0,0,0,0,0,,,0,,,0,,,0,,,Face‐centered cubic (FCC) → Code 1,,"FCC → Code 8 (Cu‐rich, nanometer‐scale 'plate‐strip' precipitates confirmed by SAD patterns)",Approximately 5–50 nm,,FCC → Code 8 (nano‐scale domains typically in the inter‐dendrite zone with similar FCC structure),Approximately 5–10 nm,,,,,742,,458,,,40,,,,,,,,,,
Anomalous effect of lattice misfit on the coarsening behavior of multicomponent L12 phase,Nominal Composition Ni₂CoCrFeTi₀.₂Al₀.₁,18.9,37.7,18.9,0,18.9,1.9,3.8,0,0,0,0,0,0,0,1,1200,2 hr,1,20,70,1,1200,4 min,1,800,24 to 720 hr,Disordered face‐centered cubic (FCC),81.4,Ordered L1₂,"~10 nm (evolves with aging, transforming from spherical to round‐cornered cubes)",18.6,,,,,,,,,,,,,,800,,,,,,,,
Anomalous effect of lattice misfit on the coarsening behavior of multicomponent L12 phase,Nominal Composition Ni₂CoCrFeTi₀.₁₅Al₀.₁₅,18.9,37.7,18.9,0,18.9,2.8,2.8,0,0,0,0,0,0,0,1,1200,2 hr,1,20,70,1,1200,4 min,1,800,24 to 720 hr,Disordered face‐centered cubic (FCC),84.9,Ordered L1₂,~10 nm (coarsening with aging),15.1,,,,,,,,,,,,,,,,,,,,,,
Anomalous effect of lattice misfit on the coarsening behavior of multicomponent L12 phase,Nominal Composition Ni₂CoCrFeTi₀.₁Al₀.₂,18.9,37.7,18.9,0,18.9,3.8,1.9,0,0,0,0,0,0,0,1,1200,2 hr,1,20,70,1,1200,4 min,1,800,24 to 720 hr,Disordered face‐centered cubic (FCC),87.1,Ordered L1₂,"~10 nm (initially, with coarsening over time)",12.9,,,,,,,,,,,,,,,,,,,,,,
Concurrence of spinodal decomposition and nano-phase precipitation in a multi-component AlCoCrCuFeNi high-entropy alloy,"AlCoCrCuFeNi high-entropy alloy (Spray-cast, as-sprayed variant)",16.7,16.7,16.7,0,16.7,16.7,0,16.7,0,0,0,0,0,0,0,,,0,,,0,,,0,,,2,,"2 (body‐centered cubic); Fe–Cr‐rich plate (often associated with the disordered “A2” phase, here classified as BCC)",30 ± 3 nm,,4 (B2); Al–Ni‐rich plate (ordered B2 phase),38 ± 3 nm,,8 (face‐centered cubic); Cu‐rich precipitates that appear as small (oval) particles (observed with FCC symmetry in select diffraction patterns),~4 to 33 nm,,,,,,444,,,,,,,,,,,
Concurrence of spinodal decomposition and nano-phase precipitation in a multi-component AlCoCrCuFeNi high-entropy alloy,"AlCoCrCuFeNi high-entropy alloy (Spray-cast, annealed variant)",16.7,16.7,16.7,0,16.7,16.7,0,16.7,0,0,0,0,0,0,0,,,0,,,0,,,1,873,20,Body-Centered Cubic (BCC),,,,,,,,,,,,,,,460,,,,,,,,,,,
Concurrence of spinodal decomposition and nano-phase precipitation in a multi-component AlCoCrCuFeNi high-entropy alloy,AlCoCrCuFeNi high-entropy alloy (Melt-spun variant),16.7,16.7,16.7,0,16.7,16.7,0,16.7,0,0,0,0,0,0,0,,,0,,,0,,,0,,,2,,2 (body‐centered cubic); Fe–Cr‐rich plate,22 ± 3 nm,,4 (B2); Al–Ni‐rich plate,30 ± 3 nm,,"8 (face‐centered cubic); Cu‐rich precipitates (oval phase, with observed non‐crystalline region near grain boundary)",4–26 ± 3 nm,,,,,,539,,,,,,,,,,,
Design of ultrastrong but ductile medium-entropy alloy with controlled precipitations and heterogeneous grain structures,Co2CrNi1.5Al0.25Ti0.25,0,30,40,0,20,5,5,0,0,0,0,0,0,0,Yes (1),1200 °C (1473 K),4 hr,Yes (1),20 °C (ambient room temperature),85,0,,,1,700 °C (973 K),120 min (2 hr),Face-centered cubic (FCC) → Code 1,"Varies by region: RDG ~65.4%, MRG ~67.0%, NRG ~65.5%",L1₂ (ordered cubic) → Code 1,"Nearly equiaxed nanoparticles with size range 3–10 nm (average ~6.07 nm, RDG)",34.6% (in RDG),L1,Nanorods with average thickness ~8.06 nm and length ~32.74 nm (MRG),33.0% (in MRG),L1,"Nearly equiaxed nanoparticles with size range 3-7 nm (average ~5.67 nm, NRG)",34.5% (in NRG),1888,,1729,,,16,,77,2309,21.2,,,,,,
Design of ultrastrong but ductile medium-entropy alloy with controlled precipitations and heterogeneous grain structures,HGS‑HP MEA (Annealed 30 min),0,30,40,0,20,5,5,0,0,0,0,0,0,0,Yes,1473 K (≈1200°C),4 hr,Yes,20°C (ambient),85,Yes (Annealing),973 K (≈700°C),30 min,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Discontinuous precipitation leading to nano-rod intermetallic precipitates in an Al0.2Ti0.3Co1.5CrFeNi1.5 high entropy alloy results in an excellent strength-ductilit,SA condition,18.2,27.3,27.3,0,18.2,3.6,5.4,0,0,0,0,0,0,0,1,1150,6 hr,0,,,0,,,0,,,Face-centered cubic (FCC) [Classification: 1],91,L12 [Classification: 1],5 nm,9,,,,,,,597,,373,,,59,,,,,,,,,,
Discontinuous precipitation leading to nano-rod intermetallic precipitates in an Al0.2Ti0.3Co1.5CrFeNi1.5 high entropy alloy results in an excellent strength-ductilit,SA750 condition,18.2,27.3,27.3,0,18.2,3.6,5.4,0,0,0,0,0,0,0,1,1150,6 hr,0,,,0,,,1,750,50 hr,Face‐Centered Cubic (FCC) [Classification = 1],54,L12 [Classification = 1],25,40,L12 [Classification = 1],,6,,,,989,,796,,,17,,650,702,,,,,,,
Discontinuous precipitation leading to nano-rod intermetallic precipitates in an Al0.2Ti0.3Co1.5CrFeNi1.5 high entropy alloy results in an excellent strength-ductilit,60CRA condition,18.2,27.3,27.3,0,18.2,3.6,5.4,0,0,0,0,0,0,0,1,1150,6 hr,1,20,60,1,750,50 hr,0,,,Face‐centered cubic (FCC) (code 1),,"L12 (nearly spherical/globular in non‐recrystallized, coarse FCC regions; code 1)",105,,"L12 (discontinuous precipitation in recrystallized, fine FCC regions with lamellar/cellular morphology; nano‐rod similar in nature to that in 90CRA)","380 nm in length, 60 nm in width",1.7,L21 (grain‐boundary precipitate; code 5),,1.7,1386,,1142,,,14,,,,,,,,,,
Discontinuous precipitation leading to nano-rod intermetallic precipitates in an Al0.2Ti0.3Co1.5CrFeNi1.5 high entropy alloy results in an excellent strength-ductilit,90CRA condition,18.2,27.3,27.3,0,18.2,3.6,5.4,0,0,0,0,0,0,0,1,1150,6 hr,1,20,90,1,750,50 hr,0,,,Face‐centered cubic (FCC) (Classification value = 1),53.3,L12 (ordered intermetallic) (Classification value = 1),Nano‐rod morphology with an approximate length of 330 nm and a diameter on the order of 30 nm,45,L21 (also related to the B2 structure; indexed at grain boundaries) (Classification value = 5),,1.7,,,,1586,,1396,,,14,,500,,,,,,,,
Effect of coherent L12 nanoprecipitates on the tensile behavior of a fcc-based high-entropy alloy,Material Variant A (Precipitate‐strengthened),18.29,37.55,18.69,0,18.94,2.72,0,3.81,0,0,0,0,0,0,Yes (1),1200,24 hr,Yes (1),20 °C (room‐temperature rolling),93,Yes (1),700 °C,20 hr (1200 min),0,,,Face‐Centered Cubic (FCC) [Classification code: 1],,"L12 (ordered, coherent nanoprecipitates); specifically identified as (Ni,Cu)₃Al [Classification code: 1 for L12]",18.3,,,,,,,,1048,,719,,,30.4,,,,,,,,,,
Effect of coherent L12 nanoprecipitates on the tensile behavior of a fcc-based high-entropy alloy,Material Variant B (Single‐phase),18.29,37.55,18.69,0,18.94,2.72,0,3.81,0,0,0,0,0,0,Yes (1),1200,24 hr,Yes (1),20 °C (room‐temperature rolling),93,Yes (1),800 °C,1 hr (60 min),0,,,"1 (Face-Centered Cubic, FCC)",100,,,,,,,,,,732,,460,,,31.7,,,,,,,,,,
Engineering multi-scale B2 precipitation in a heterogeneous FCC based microstructure to enhance the mechanical properties of a Al0.5Co1.5CrFeNi1.5 high entropy alloy,Al0.5Co1.5CrFeNi1.5 - Single–phase FCC Condition,18.18,27.27,27.27,0,18.18,9.1,0,0,0,0,0,0,0,0,1,1150,6,0,,,0,,,0,,,"1 (face‐centered cubic, FCC)",100,,,,,,,,,,453,,180,,,62,,,,,,,,,,
Engineering multi-scale B2 precipitation in a heterogeneous FCC based microstructure to enhance the mechanical properties of a Al0.5Co1.5CrFeNi1.5 high entropy alloy,Al0.5Co1.5CrFeNi1.5 - SA750 Condition,18.18,27.27,27.27,0,18.18,9.1,0,0,0,0,0,0,0,0,1,1150,6,0,,,0,,,1,750,50,Face‐centered cubic (FCC) [Code = 1],approx 85,L12 (ordered “γ′”) [Precipitate Code: L12 = 1],10.2,12.1,B2 [Precipitate Code: B2 = 3],,small (minor) fraction,,,,720,,360,,,48,,,,,,,,,,
