run_id,tool_type,material_family,cooling,carbon_pct,cutting_speed_m_per_min,feed_mm_per_rev,depth_of_cut_mm,cutting_distance_m,wear_vb_um
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,0.0,5.469
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,100.0,11.75
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,200.0,26.757
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,300.0,23.125
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,400.0,25.318
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,500.0,43.308
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,600.0,43.049
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,700.0,55.835
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,800.0,59.136
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,900.0,69.274
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1000.0,71.917
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1100.0,75.584
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1200.0,73.753
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1300.0,83.182
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1400.0,84.793
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1500.0,100.791
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1600.0,104.747
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1700.0,114.507
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1800.0,103.626
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,1900.0,130.899
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2000.0,140.822
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2100.0,142.534
W0001,carbide_A,stainless,dry,0.3492,145.569,0.1208,1.8991,2200.0,149.913
